Job ID $ Task index within the job, Start time (micro second), Finish time (micro second), Duration (micro second), Priority 
6251103557$18,0,1982948393,1982948393,2
6251103557$11,0,1991280517,1991280517,2
6251103557$10,0,1986908614,1986908614,2
6251103557$13,0,2010039477,2010039477,2
6251103557$12,0,1995470462,1995470462,2
6251103557$15,0,1996946119,1996946119,2
6251103557$14,0,2026875024,2026875024,2
6251103557$17,0,2009324013,2009324013,2
6251103557$16,0,2000712348,2000712348,2
6251754480$288,1601643639,1721924620,120280981,2
6251754480$289,1601643661,1740177088,138533427,2
6251754480$284,1601643537,1725418250,123774713,2
6251754480$285,1601643559,1758883487,157239928,2
6250345153$1099,0,2915613153,2915613153,0
6250345153$1098,0,2878716105,2878716105,0
6250345153$1093,0,3075644510,3075644510,0
6250345153$1092,0,3188565139,3188565139,0
6250345153$1091,0,2751408377,2751408377,0
6250345153$1090,0,2754272133,2754272133,0
6250345153$1097,0,2912473467,2912473467,0
6250345153$1096,0,2725015646,2725015646,0
6250345153$1095,0,2822083959,2822083959,0
6250345153$1094,0,2767206896,2767206896,0
6251812952$1407,2234090089,5109320101,2875230012,2
6251812952$1406,2231825080,4939355444,2707530364,2
6251812952$1405,2242918299,4980097751,2737179452,2
6251812952$1404,2236549019,5058873907,2822324888,2
6251812952$1403,2234088994,4974028456,2739939462,2
6251812952$1402,2240264196,5077109930,2836845734,2
6251812952$1401,2242917768,5094310574,2851392806,2
6251812952$1400,2243858534,5108545393,2864686859,2
6251812952$1409,2233096748,5157910481,2924813733,2
6251812952$1408,2242917875,5121627720,2878709845,2
6251904229$769,3551560575,4321341431,769780856,2
6251904229$768,3551560561,4002556574,450996013,2
6251904229$767,3551560547,4016303428,464742881,2
6251904229$766,3551560533,4019334617,467774084,2
6251904229$765,3551560519,4017285342,465724823,2
6251904229$764,3551560505,4019334309,467773804,2
6251904229$763,3551560491,4061017030,509456539,2
6251904229$762,3551560477,4036048850,484488373,2
6251904229$761,3551560453,4238268168,686707715,2
6251904229$760,3551560396,4329106761,777546365,2
6251866953$519,2852992388,2999441622,146449234,2
6251754480$596,1601650401,1734478314,132827913,2
6251754480$598,1601650452,1744714798,143064346,2
6251717526$350,1400582071,1708869882,308287811,2
6251717526$351,1400582085,1697221320,296639235,2
6251717526$352,1400582099,1704921068,304338969,2
6251717526$353,1400582113,1700756273,300174160,2
6251717526$354,1400582127,1740177217,339595090,2
6251717526$355,1400582141,1697983810,297401669,2
6251717526$356,1400582155,1710751983,310169828,2
6251717526$357,1400582169,1698805639,298223470,2
6251717526$358,1400582183,1708084854,307502671,2
6251717526$359,1400582197,1702367716,301785519,2
6251726235$285,1442202187,3077976186,1635773999,2
6251726235$287,1442202216,3131939109,1689736893,2
6251726235$286,1442202202,3142553441,1700351239,2
6251726235$281,1442202131,3074755462,1632553331,2
6251726235$280,1442202117,3076472579,1634270462,2
6251726235$282,1442202145,3102133553,1659931408,2
6251726235$289,1442202244,3075644020,1633441776,2
6251726235$288,1442202230,3146367536,1704165306,2
6251915193$868,3853059410,4155403391,302343981,2
6251915193$869,3853059424,4088146359,235086935,2
6251915193$862,3853059326,4050971411,197912085,2
6251915193$863,3853059340,4063677964,210618624,2
6251915193$860,3853059298,4099536773,246477475,2
6251915193$861,3853059312,4095282293,242222981,2
6251915193$866,3853059382,4024456849,171397467,2
